user_id,session_id,session_path,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,stress_self_report,valence,arousal,label_file,dual_task_file,dual_task_n_probes,dual_task_mean_rt_ms,dual_task_success_rate,graphs_120s_count,graphs_30s_count,graphs_5s_count,graph_format,mouse_rows,keyboard_rows,notification_rows,session_duration_minutes,has_nasa_tlx,has_graphs_120s,has_mouse,has_keyboard,has_dual_task,usable
Graja,session_20260515_222448_5cad10,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222448_5cad10,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222448_5cad10/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222448_5cad10/raw/dual_task.csv (empty),,,,,,,,1513,0.0,0.0,0.6,False,False,True,False,False,False
Graja,session_20260515_222548_05a79a,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222548_05a79a,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222548_05a79a/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222548_05a79a/raw/dual_task.csv (empty),,,,,,,,2524,120.0,0.0,1.4,False,False,True,True,False,False
Graja,session_20260515_222916_e5858b,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222916_e5858b,20.0,5.0,5.0,95.0,35.0,20.0,22.0,90.0,80.0,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222916_e5858b/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222916_e5858b/labels/dual_task.csv (empty),,,,11.0,41.0,243.0,json,47690,24.0,0.0,20.2,True,True,True,True,False,True
Makki,session_20260525_214154_0a4103,/home/hefouzinho/aam_data_6_1/Data/After update/Makki/session_20260525_214154_0a4103,40.0,30.0,20.0,70.0,20.0,0.0,0.0,90.0,0.0,/home/hefouzinho/aam_data_6_1/Data/After update/Makki/session_20260525_214154_0a4103/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/Makki/session_20260525_214154_0a4103/raw/dual_task.csv,5.0,677.858,0.4,15.0,60.0,360.0,json,254872,1011.0,0.0,29.9,True,True,True,True,True,True
amrdroid,session_20260516_110318_a84820,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_110318_a84820,70.0,74.0,62.0,32.0,45.0,77.0,85.0,35.0,62.0,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_110318_a84820/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_110318_a84820/raw/dual_task.csv,5.0,513.866,0.2,16.0,61.0,361.0,json,10810,98.0,0.0,29.5,True,True,True,True,True,True
amrdroid,session_20260516_114259_b75425,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_114259_b75425,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_114259_b75425/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_114259_b75425/raw/dual_task.csv,5.0,1440.188,0.6,,,,,10855,266.0,0.0,23.4,False,False,True,True,True,False
dem,session_20260510_191823_9a2425,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260510_191823_9a2425,,,,,,,,,,,,,,,0.0,0.0,0.0,,22504,,,30.0,False,False,True,False,False,False
dem,session_20260510_195504_b593cc,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260510_195504_b593cc,,,,,,,,,,,,,,,0.0,0.0,0.0,,2813,,,1.1,False,False,True,False,False,False
dem,session_20260511_095459_8a72ee,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260511_095459_8a72ee,,,,,,,,,,,,,,,0.0,0.0,0.0,,22557,,,30.0,False,False,True,False,False,False
dem,session_20260511_103551_c8d630,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260511_103551_c8d630,,,,,,,,,,,,,,,0.0,0.0,0.0,,21716,,,30.0,False,False,True,False,False,False
dem,session_20260516_170537_bf39bc,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260516_170537_bf39bc,,,,,,,,,,,,,,,,,,,21427,,,9.6,False,False,True,False,False,False
dem,session_20260517_082843_bea015,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_082843_bea015,,,,,,,,,,,,,,,0.0,0.0,0.0,,33106,,,67.1,False,False,True,False,False,False
dem,session_20260517_094738_ce576d,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_094738_ce576d,,,,,,,,,,,,,,,0.0,0.0,0.0,,42591,,,29.8,False,False,True,False,False,False
dem,session_20260517_105229_cb660e,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_105229_cb660e,29.0,29.0,53.0,50.0,50.0,50.0,36.0,50.0,50.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_105229_cb660e/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_105229_cb660e/labels/dual_task.csv (empty),,,,3.0,9.0,49.0,json,5983,644.0,0.0,4.0,True,True,True,True,False,True
dem,session_20260517_113407_c4efba,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_113407_c4efba,58.0,11.0,74.0,44.0,64.0,28.0,68.0,50.0,58.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_113407_c4efba/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_113407_c4efba/raw/dual_task.csv,6.0,2167.4683333333337,1.0,16.0,61.0,361.0,json,23412,340.0,0.0,30.0,True,True,True,True,True,True
dem,session_20260517_121410_2c55a5,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_121410_2c55a5,64.0,30.0,56.0,45.0,53.0,36.0,74.0,36.0,42.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_121410_2c55a5/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_121410_2c55a5/raw/dual_task.csv,6.0,1030.445,0.8333333333333334,15.0,60.0,360.0,json,47735,469.0,0.0,29.7,True,True,True,True,True,True
dem,session_20260518_171548_c29868,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_171548_c29868,29.0,40.0,58.0,40.0,32.0,64.0,52.0,38.0,52.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_171548_c29868/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_171548_c29868/raw/dual_task.csv,5.0,1768.7939999999999,1.0,16.0,61.0,361.0,json,65380,762.0,0.0,30.0,True,True,True,True,True,True
dem,session_20260518_184628_9851e6,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_184628_9851e6,59.0,30.0,70.0,50.0,44.0,50.0,62.0,31.0,59.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_184628_9851e6/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_184628_9851e6/raw/dual_task.csv,12.0,1414.6233333333332,0.9166666666666666,31.0,121.0,721.0,json,70382,3116.0,0.0,60.0,True,True,True,True,True,True
dem,session_20260518_212527_225c72,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_212527_225c72,59.0,25.0,70.0,54.0,59.0,50.0,69.0,43.0,38.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_212527_225c72/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_212527_225c72/raw/dual_task.csv,5.0,1387.916,0.6,16.0,61.0,361.0,json,12556,241.0,0.0,23.6,True,True,True,True,True,True
dem,session_20260519_173652_663f90,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_173652_663f90,38.0,32.0,50.0,28.0,16.0,50.0,39.0,31.0,50.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_173652_663f90/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_173652_663f90/raw/dual_task.csv,4.0,1526.8225,0.75,16.0,61.0,361.0,json,60165,327.0,0.0,30.0,True,True,True,True,True,True
dem,session_20260519_182012_30aa98,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_182012_30aa98,54.0,33.0,68.0,63.0,56.0,37.0,64.0,43.0,56.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_182012_30aa98/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_182012_30aa98/raw/dual_task.csv,6.0,1379.0166666666667,0.8333333333333334,16.0,61.0,361.0,json,45543,3525.0,0.0,30.0,True,True,True,True,True,True
dem,session_20260519_190457_ea6bb1,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_190457_ea6bb1,45.0,34.0,54.0,39.0,44.0,37.0,73.0,43.0,50.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_190457_ea6bb1/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_190457_ea6bb1/raw/dual_task.csv,6.0,1626.8916666666667,0.8333333333333334,16.0,61.0,361.0,json,31862,4955.0,0.0,30.0,True,True,True,True,True,True
dem,session_20260519_210238_473eba,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_210238_473eba,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_210238_473eba/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260519_210238_473eba/raw/dual_task.csv,6.0,1279.3633333333335,0.6666666666666666,,,,,26965,44.0,0.0,30.0,False,False,True,True,True,False
dem,session_20260520_181016_d6e98d,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260520_181016_d6e98d,38.0,21.0,59.0,40.0,34.0,65.0,72.0,26.0,21.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260520_181016_d6e98d/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260520_181016_d6e98d/raw/dual_task.csv,6.0,1498.2666666666667,0.8333333333333334,0.0,0.0,247.0,json,34138,923.0,0.0,30.0,True,False,True,True,True,False
dem,session_20260520_185932_829e70,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260520_185932_829e70,56.0,36.0,60.0,40.0,36.0,68.0,70.0,29.0,22.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260520_185932_829e70/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260520_185932_829e70/raw/dual_task.csv,6.0,1818.5816666666667,1.0,0.0,0.0,0.0,,27561,1018.0,0.0,29.6,True,False,True,True,True,False
dem,session_20260520_205609_c34357,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260520_205609_c34357,55.0,18.0,65.0,43.0,35.0,62.0,65.0,25.0,14.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260520_205609_c34357/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260520_205609_c34357/raw/dual_task.csv,2.0,1608.4099999999999,1.0,0.0,0.0,0.0,,21052,870.0,0.0,15.0,True,False,True,True,True,False
dem,session_20260521_174609_da1dd3,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_174609_da1dd3,41.0,16.0,58.0,35.0,28.0,50.0,60.0,40.0,55.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_174609_da1dd3/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_174609_da1dd3/raw/dual_task.csv,5.0,1234.7800000000002,1.0,0.0,0.0,0.0,,61286,231.0,0.0,30.0,True,False,True,True,True,False
dem,session_20260521_185046_ac3461,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_185046_ac3461,76.0,28.0,67.0,43.0,46.0,50.0,74.0,42.0,35.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_185046_ac3461/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_185046_ac3461/raw/dual_task.csv,5.0,1268.3539999999998,1.0,0.0,0.0,0.0,,41795,1543.0,0.0,28.7,True,False,True,True,True,False
dem,session_20260521_203934_557784,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_203934_557784,50.0,25.0,70.0,36.0,50.0,59.0,62.0,35.0,32.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_203934_557784/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260521_203934_557784/raw/dual_task.csv,6.0,1578.5183333333334,1.0,16.0,61.0,361.0,json,34261,432.0,0.0,30.0,True,True,True,True,True,True
gassarra,session_20260517_134333_aeb7dc,/home/hefouzinho/aam_data_6_1/Data/After update/gassarra/data/session_20260517_134333_aeb7dc,100.0,0.0,100.0,80.0,73.0,11.0,100.0,50.0,100.0,/home/hefouzinho/aam_data_6_1/Data/After update/gassarra/data/session_20260517_134333_aeb7dc/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/gassarra/data/session_20260517_134333_aeb7dc/labels/dual_task.csv (empty),,,,16.0,61.0,361.0,json,75192,110.0,0.0,29.6,True,True,True,True,False,True
ghoss,session_20260526_191020_35ca55,/home/hefouzinho/aam_data_6_1/Data/After update/ghoss/session_20260526_191020_35ca55,90.0,50.0,20.0,70.0,70.0,40.0,40.0,50.0,60.0,/home/hefouzinho/aam_data_6_1/Data/After update/ghoss/session_20260526_191020_35ca55/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/ghoss/session_20260526_191020_35ca55/raw/dual_task.csv,5.0,1820.852,0.8,15.0,60.0,360.0,json,41225,1783.0,0.0,30.0,True,True,True,True,True,True
hffz,session_20260511_231045_f880e8,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260511_231045_f880e8,37.0,24.0,0.0,26.0,15.0,9.0,5.0,29.0,9.0,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260511_231045_f880e8/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260511_231045_f880e8/raw/dual_task.csv,7.0,1573.7528571428572,1.0,,61.0,361.0,json,29749,5918.0,4.0,30.0,True,False,True,True,True,False
hffz,session_20260516_105315_535a79,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260516_105315_535a79,52.0,11.0,4.0,22.0,18.0,26.0,47.0,63.0,32.0,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260516_105315_535a79/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260516_105315_535a79/raw/dual_task.csv,3.0,539.93,0.3333333333333333,8.0,31.0,181.0,json,4296,204.0,0.0,14.8,True,True,True,True,True,True
hffz,session_20260520_220220_20835b,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_220220_20835b,58.0,28.0,79.0,22.0,43.0,78.0,75.0,14.0,8.0,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_220220_20835b/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_220220_20835b/labels/dual_task.csv (empty),,,,2.0,8.0,44.0,json,4783,206.0,0.0,3.6,True,True,True,True,False,True
hffz,session_20260520_222844_7c414b,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_222844_7c414b,76.0,27.0,92.0,34.0,65.0,73.0,60.0,22.0,51.0,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_222844_7c414b/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/hffz/session_20260520_222844_7c414b/raw/dual_task.csv,12.0,1156.5516666666665,0.5833333333333334,31.0,121.0,721.0,json,28375,369.0,0.0,56.4,True,True,True,True,True,True
ignorant,session_20260520_170354_7f6034,/home/hefouzinho/aam_data_6_1/Data/After update/ignorant/session_20260520_170354_7f6034,0.0,0.0,15.0,86.0,0.0,0.0,0.0,90.0,0.0,/home/hefouzinho/aam_data_6_1/Data/After update/ignorant/session_20260520_170354_7f6034/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/ignorant/session_20260520_170354_7f6034/raw/dual_task.csv,5.0,1453.066,0.8,16.0,61.0,361.0,json,619,14.0,15.0,28.2,True,True,True,True,True,True
ladabos,session_20260528_093705_7f659b,/home/hefouzinho/aam_data_6_1/Data/After update/ladabos/session_20260528_093705_7f659b,50.0,0.0,4.0,50.0,30.0,13.0,13.0,0.0,0.0,/home/hefouzinho/aam_data_6_1/Data/After update/ladabos/session_20260528_093705_7f659b/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/ladabos/session_20260528_093705_7f659b/labels/dual_task.csv (empty),,,,16.0,61.0,361.0,json,8,22.0,0.0,8.9,True,True,False,True,False,True
layss,session_20260513_110323_584cf7,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260513_110323_584cf7,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,5.0,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260513_110323_584cf7/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/layss/session_20260513_110323_584cf7/labels/dual_task.csv (empty),,,,7.0,25.0,145.0,json,9832,586.0,0.0,12.0,True,True,True,True,False,True
